03-18 17:37:59 - INFO - models loaded
03-19 03:50:40 - INFO - prediction of 2022-07-28 done, outcomes saved
03-19 03:52:54 - INFO - prediction of 2022-07-29 done, outcomes saved
03-19 03:55:03 - INFO - prediction of 2022-07-30 done, outcomes saved
03-19 03:57:15 - INFO - prediction of 2022-07-31 done, outcomes saved
03-19 04:01:10 - INFO - prediction of 2022-08-01 done, outcomes saved
03-19 04:03:19 - INFO - prediction of 2022-08-02 done, outcomes saved
03-19 04:05:32 - INFO - prediction of 2022-08-03 done, outcomes saved
03-19 04:07:44 - INFO - prediction of 2022-08-04 done, outcomes saved
03-19 04:09:53 - INFO - prediction of 2022-08-05 done, outcomes saved
03-19 04:12:01 - INFO - prediction of 2022-08-06 done, outcomes saved
03-19 04:14:09 - INFO - prediction of 2022-08-07 done, outcomes saved
03-19 04:16:21 - INFO - prediction of 2022-08-08 done, outcomes saved
03-19 04:18:27 - INFO - prediction of 2022-08-09 done, outcomes saved
03-19 04:20:37 - INFO - prediction of 2022-08-10 done, outcomes saved
03-19 04:22:45 - INFO - prediction of 2022-08-11 done, outcomes saved
03-19 04:24:56 - INFO - prediction of 2022-08-12 done, outcomes saved
03-19 04:27:05 - INFO - prediction of 2022-08-13 done, outcomes saved
03-19 04:29:14 - INFO - prediction of 2022-08-14 done, outcomes saved
03-19 04:31:24 - INFO - prediction of 2022-08-15 done, outcomes saved
03-19 04:33:33 - INFO - prediction of 2022-08-16 done, outcomes saved
03-19 04:35:44 - INFO - prediction of 2022-08-17 done, outcomes saved
03-19 04:37:52 - INFO - prediction of 2022-08-18 done, outcomes saved
03-19 04:40:04 - INFO - prediction of 2022-08-19 done, outcomes saved
03-19 04:42:12 - INFO - prediction of 2022-08-20 done, outcomes saved
03-19 04:44:21 - INFO - prediction of 2022-08-21 done, outcomes saved
03-19 04:46:32 - INFO - prediction of 2022-08-22 done, outcomes saved
03-19 04:48:39 - INFO - prediction of 2022-08-23 done, outcomes saved
03-19 04:50:45 - INFO - prediction of 2022-08-24 done, outcomes saved
03-19 04:52:53 - INFO - prediction of 2022-08-25 done, outcomes saved
03-19 04:55:00 - INFO - prediction of 2022-08-26 done, outcomes saved
03-19 04:57:07 - INFO - prediction of 2022-08-27 done, outcomes saved
03-19 04:59:14 - INFO - prediction of 2022-08-28 done, outcomes saved
03-19 05:01:20 - INFO - prediction of 2022-08-29 done, outcomes saved
03-19 05:03:27 - INFO - prediction of 2022-08-30 done, outcomes saved
03-19 05:05:35 - INFO - prediction of 2022-08-31 done, outcomes saved
03-19 05:09:20 - INFO - prediction of 2022-09-01 done, outcomes saved
03-19 05:11:27 - INFO - prediction of 2022-09-02 done, outcomes saved
03-19 05:13:34 - INFO - prediction of 2022-09-03 done, outcomes saved
03-19 05:15:41 - INFO - prediction of 2022-09-04 done, outcomes saved
03-19 05:17:48 - INFO - prediction of 2022-09-05 done, outcomes saved
03-19 05:19:54 - INFO - prediction of 2022-09-06 done, outcomes saved
03-19 05:22:01 - INFO - prediction of 2022-09-07 done, outcomes saved
03-19 05:24:08 - INFO - prediction of 2022-09-08 done, outcomes saved
03-19 05:26:15 - INFO - prediction of 2022-09-09 done, outcomes saved
03-19 05:28:22 - INFO - prediction of 2022-09-10 done, outcomes saved
03-19 05:30:28 - INFO - prediction of 2022-09-11 done, outcomes saved
03-19 05:32:36 - INFO - prediction of 2022-09-12 done, outcomes saved
03-19 05:34:43 - INFO - prediction of 2022-09-13 done, outcomes saved
03-19 05:36:51 - INFO - prediction of 2022-09-14 done, outcomes saved
03-19 05:38:59 - INFO - prediction of 2022-09-15 done, outcomes saved
03-19 05:41:07 - INFO - prediction of 2022-09-16 done, outcomes saved
03-19 05:43:15 - INFO - prediction of 2022-09-17 done, outcomes saved
03-19 05:45:25 - INFO - prediction of 2022-09-18 done, outcomes saved
03-19 05:47:33 - INFO - prediction of 2022-09-19 done, outcomes saved
03-19 05:49:43 - INFO - prediction of 2022-09-20 done, outcomes saved
03-19 05:51:52 - INFO - prediction of 2022-09-21 done, outcomes saved
03-19 05:54:01 - INFO - prediction of 2022-09-22 done, outcomes saved
03-19 05:56:08 - INFO - prediction of 2022-09-23 done, outcomes saved
03-19 05:58:18 - INFO - prediction of 2022-09-24 done, outcomes saved
03-19 06:00:25 - INFO - prediction of 2022-09-25 done, outcomes saved
03-19 06:02:33 - INFO - prediction of 2022-09-26 done, outcomes saved
03-19 06:04:41 - INFO - prediction of 2022-09-27 done, outcomes saved
03-19 06:06:48 - INFO - prediction of 2022-09-28 done, outcomes saved
03-19 06:08:56 - INFO - prediction of 2022-09-29 done, outcomes saved
03-19 06:11:03 - INFO - prediction of 2022-09-30 done, outcomes saved
03-19 06:14:51 - INFO - prediction of 2022-10-01 done, outcomes saved
03-19 06:16:58 - INFO - prediction of 2022-10-02 done, outcomes saved
03-19 06:19:05 - INFO - prediction of 2022-10-03 done, outcomes saved
03-19 06:21:12 - INFO - prediction of 2022-10-04 done, outcomes saved
03-19 06:23:20 - INFO - prediction of 2022-10-05 done, outcomes saved
03-19 06:25:27 - INFO - prediction of 2022-10-06 done, outcomes saved
03-19 06:27:34 - INFO - prediction of 2022-10-07 done, outcomes saved
03-19 06:29:42 - INFO - prediction of 2022-10-08 done, outcomes saved
03-19 06:31:49 - INFO - prediction of 2022-10-09 done, outcomes saved
03-19 06:33:56 - INFO - prediction of 2022-10-10 done, outcomes saved
03-19 06:36:03 - INFO - prediction of 2022-10-11 done, outcomes saved
03-19 06:38:10 - INFO - prediction of 2022-10-12 done, outcomes saved
03-19 06:40:17 - INFO - prediction of 2022-10-13 done, outcomes saved
03-19 06:42:23 - INFO - prediction of 2022-10-14 done, outcomes saved
03-19 06:44:30 - INFO - prediction of 2022-10-15 done, outcomes saved
03-19 06:46:38 - INFO - prediction of 2022-10-16 done, outcomes saved
03-19 06:48:45 - INFO - prediction of 2022-10-17 done, outcomes saved
03-19 06:50:52 - INFO - prediction of 2022-10-18 done, outcomes saved
03-19 06:52:59 - INFO - prediction of 2022-10-19 done, outcomes saved
03-19 06:55:06 - INFO - prediction of 2022-10-20 done, outcomes saved
03-19 06:57:14 - INFO - prediction of 2022-10-21 done, outcomes saved
03-19 06:59:21 - INFO - prediction of 2022-10-22 done, outcomes saved
03-19 07:01:28 - INFO - prediction of 2022-10-23 done, outcomes saved
03-19 07:03:35 - INFO - prediction of 2022-10-24 done, outcomes saved
03-19 07:05:42 - INFO - prediction of 2022-10-25 done, outcomes saved
03-19 07:07:49 - INFO - prediction of 2022-10-26 done, outcomes saved
03-19 07:09:57 - INFO - prediction of 2022-10-27 done, outcomes saved
03-19 07:12:04 - INFO - prediction of 2022-10-28 done, outcomes saved
03-19 07:14:11 - INFO - prediction of 2022-10-29 done, outcomes saved
03-19 07:16:18 - INFO - prediction of 2022-10-30 done, outcomes saved
03-19 07:18:25 - INFO - prediction of 2022-10-31 done, outcomes saved
03-19 07:22:09 - INFO - prediction of 2022-11-01 done, outcomes saved
03-19 07:24:17 - INFO - prediction of 2022-11-02 done, outcomes saved
03-19 07:26:24 - INFO - prediction of 2022-11-03 done, outcomes saved
03-19 07:28:31 - INFO - prediction of 2022-11-04 done, outcomes saved
03-19 07:30:38 - INFO - prediction of 2022-11-05 done, outcomes saved
03-19 07:32:45 - INFO - prediction of 2022-11-06 done, outcomes saved
03-19 07:34:52 - INFO - prediction of 2022-11-07 done, outcomes saved
03-19 07:36:59 - INFO - prediction of 2022-11-08 done, outcomes saved
03-19 07:39:07 - INFO - prediction of 2022-11-09 done, outcomes saved
03-19 07:41:14 - INFO - prediction of 2022-11-10 done, outcomes saved
03-19 07:43:22 - INFO - prediction of 2022-11-11 done, outcomes saved
03-19 07:45:29 - INFO - prediction of 2022-11-12 done, outcomes saved
03-19 07:47:36 - INFO - prediction of 2022-11-13 done, outcomes saved
03-19 07:49:44 - INFO - prediction of 2022-11-14 done, outcomes saved
03-19 07:51:51 - INFO - prediction of 2022-11-15 done, outcomes saved
03-19 07:53:59 - INFO - prediction of 2022-11-16 done, outcomes saved
03-19 07:56:06 - INFO - prediction of 2022-11-17 done, outcomes saved
03-19 07:58:13 - INFO - prediction of 2022-11-18 done, outcomes saved
03-19 08:00:20 - INFO - prediction of 2022-11-19 done, outcomes saved
03-19 08:02:28 - INFO - prediction of 2022-11-20 done, outcomes saved
03-19 08:04:35 - INFO - prediction of 2022-11-21 done, outcomes saved
03-19 08:06:42 - INFO - prediction of 2022-11-22 done, outcomes saved
